County,tot_change,Natural,Births,Deaths,Migration_otal,International,Domestic
".Del Norte County, California",-798,146,2810,2664,-982,103,-1085
".El Dorado County, California",11785,1042,14763,13721,10861,1097,9764
".Fresno County, California",68594,80755,142608,61853,-11772,9639,-21411
".Glenn County, California",271,1305,3595,2290,-1046,-175,-871
".Humboldt County, California",947,1330,13502,12172,-341,167,-508
".Imperial County, California",6691,18410,27894,9484,-11851,2063,-13914
".Inyo County, California",-503,51,1891,1840,-547,127,-674
".Kern County, California",60581,74264,128382,54118,-13469,7091,-20560
".Kings County, California",-34,14271,21880,7609,-14649,695,-15344
".Lake County, California",-276,-969,6824,7793,732,-169,901
".Lassen County, California",-4322,638,2774,2136,-5081,115,-5196
".Los Angeles County, California",219139,583364,1152564,569200,-361895,293433,-655328
".Madera County, California",6493,11128,20999,9871,-4704,-383,-4321
".Marin County, California",6396,3468,21221,17753,3079,5528,-2449
".Mariposa County, California",-1044,-336,1354,1690,-708,96,-804
".Mendocino County, California",-1101,1685,9521,7836,-2718,-153,-2565
".Merced County, California",21884,23063,38618,15555,-1110,463,-1573
".Modoc County, California",-841,-226,753,979,-616,69,-685
".Mono County, California",238,871,1305,434,-654,517,-1171
".Monterey County, California",19002,35696,58879,23183,-16579,3403,-19982
".Napa County, California",1209,1784,13062,11278,-469,1157,-1626
".Nevada County, California",1008,-1690,7428,9118,2792,101,2691
".Orange County, California",166703,170278,348216,177938,-1103,84009,-85112
".Placer County, California",49827,5953,34460,28507,43912,2494,41418
".Plumas County, California",-1200,-619,1474,2093,-590,16,-606
".Riverside County, California",280781,132178,279019,146841,149193,14279,134914
".Sacramento County, California",133323,77832,181044,103212,56579,37914,18665
".San Benito County, California",7543,4023,6893,2870,3541,-202,3743
".San Bernardino County, California",144902,156894,281672,124778,-10963,12686,-23649
".San Diego County, California",242981,204933,398611,193678,40821,107098,-66277
".San Francisco County, California",76365,29286,82675,53389,46752,55834,-9082
".San Joaquin County, California",76842,44384,93390,49006,32797,10082,22715
".San Luis Obispo County, California",13514,2358,24056,21698,11234,925,10309
".San Mateo County, California",48056,38301,82316,44015,10028,39956,-29928
".Santa Barbara County, California",22552,23723,52100,28377,-925,9058,-9983
".Santa Clara County, California",146166,122281,213998,91717,24874,152722,-127848
".Santa Cruz County, California",10863,10582,26748,16166,384,1760,-1376
".Shasta County, California",2859,-1229,19093,20322,4297,1965,2332
".Sierra County, California",-234,-109,217,326,-126,1,-127
".Siskiyou County, California",-1361,-1032,4108,5140,-317,101,-418
".Solano County, California",34300,18081,47682,29601,16528,6691,9837
".Sonoma County, California",10475,8237,45881,37644,2497,3206,-709
".Stanislaus County, California",36210,32649,70420,37771,3879,4607,-728
".Sutter County, California",2215,4726,12032,7306,-2546,2049,-4595
".Tehama County, California",1644,1179,7041,5862,505,-131,636
".Trinity County, California",-1499,-424,1047,1471,-1073,-10,-1063
".Tulare County, California",24013,41985,69462,27477,-17932,-636,-17296
".Tuolumne County, California",-890,-1651,4283,5934,784,321,463
".Ventura County, California",22608,41771,93266,51495,-18720,7250,-25970
".Yolo County, California",19645,10083,21877,11794,9596,9720,-124
".Yuba County, California",6526,5573,11087,5514,980,674,306
".Adams County, Colorado",75724,39015,65726,26711,36267,8242,28025
".Alamosa County, Colorado",793,777,1993,1216,20,26,-6
".Arapahoe County, Colorado",84472,37965,72624,34659,46344,23224,23120
".Archuleta County, Colorado",1945,254,1101,847,1677,60,1617
".Baca County, Colorado",-206,-135,371,506,-71,13,-84
".Bent County, Colorado",-922,-193,360,553,-769,53,-822
".Boulder County, Colorado",31636,10172,26198,16026,21441,8470,12971
".Broomfield County, Colorado",14604,2991,6284,3293,11471,936,10535
".Chaffee County, Colorado",2547,-357,1241,1598,2881,77,2804
".Cheyenne County, Colorado",-2,49,224,175,-52,57,-109
